,county,jurisdiction,state
494,MERCED COUNTY,MERCED,CALIFORNIA
495,DOLORES COUNTY,DOLORES,COLORADO
496,MONTEZUMA COUNTY,MONTEZUMA,COLORADO
497,MONTROSE COUNTY,MONTROSE,COLORADO
498,SAN MIGUEL COUNTY,SAN MIGUEL,COLORADO
499,ARCHULETA COUNTY,ARCHULETA,COLORADO
500,LA PLATA COUNTY,LA PLATA,COLORADO
501,OURAY COUNTY,OURAY,COLORADO
502,SAN JUAN COUNTY,SAN JUAN,COLORADO
503,MCCULLOCH COUNTY,MCCULLOCH,TEXAS
504,MESA COUNTY,MESA,COLORADO
505,DISTRICT OF COLUMBIA,WARD 5,DISTRICT OF COLUMBIA
506,JACKSON COUNTY,JACKSON,COLORADO
507,ROUTT COUNTY,ROUTT,COLORADO
508,GARFIELD COUNTY,GARFIELD,COLORADO
509,MOFFAT COUNTY,MOFFAT,COLORADO
510,RIO BLANCO COUNTY,RIO BLANCO,COLORADO
511,MCLENNAN COUNTY,MCLENNAN,TEXAS
512,BOONE COUNTY,BOONE,WEST VIRGINIA
513,CATAWBA COUNTY,CATAWBA,NORTH CAROLINA
514,COLUMBIA COUNTY,COLUMBIA,FLORIDA
515,COLUMBIA COUNTY,COLUMBIA,OREGON
516,DESCHUTES COUNTY,DESCHUTES,OREGON
517,DISTRICT OF COLUMBIA,WARD 3,DISTRICT OF COLUMBIA
518,DURHAM COUNTY,DURHAM,NORTH CAROLINA
519,FLAGLER COUNTY,FLAGLER,FLORIDA
520,GASTON COUNTY,GASTON,NORTH CAROLINA
522,JOSEPHINE COUNTY,JOSEPHINE,OREGON
523,KLAMATH COUNTY,KLAMATH,OREGON
524,MINERAL COUNTY,MINERAL,WEST VIRGINIA
525,MONROE COUNTY,MONROE,WEST VIRGINIA
526,NICHOLAS COUNTY,NICHOLAS,WEST VIRGINIA
527,RANDOLPH COUNTY,RANDOLPH,WEST VIRGINIA
528,ROWAN COUNTY,ROWAN,NORTH CAROLINA
529,LONOKE COUNTY,LONOKE COUNTY,ARKANSAS
530,CLATSOP COUNTY,CLATSOP,OREGON
531,HANCOCK COUNTY,HANCOCK,INDIANA
532,WASHINGTON COUNTY,WASHINGTON,TENNESSEE
533,LINCOLN COUNTY,LINCOLN,OREGON
534,FAULKNER COUNTY,FAULKNER COUNTY,ARKANSAS
535,CASS COUNTY,CASS,MISSOURI
536,HONOLULU COUNTY,HONOLULU,HAWAII
537,,DISTRICT 31,ALASKA
539,GREENE COUNTY,GREENE,MISSOURI
540,KENT COUNTY,KENT,DELAWARE
541,DOUGLAS COUNTY,DOUGLAS,NEVADA
542,PUTNAM COUNTY,PUTNAM,INDIANA
543,BOONE COUNTY,BOONE,INDIANA
544,HALL COUNTY,HALL,GEORGIA
545,LAWRENCE COUNTY,LAWRENCE,INDIANA
546,HUNTINGTON COUNTY,HUNTINGTON,INDIANA
547,MORGAN COUNTY,MORGAN,INDIANA
548,DUBOIS COUNTY,DUBOIS,INDIANA
549,DEARBORN COUNTY,DEARBORN,INDIANA
550,SHELBY COUNTY,SHELBY,INDIANA
551,WARRICK COUNTY,WARRICK,INDIANA
552,POSEY COUNTY,POSEY,INDIANA
553,DEKALB COUNTY,DEKALB,INDIANA
554,WHITLEY COUNTY,WHITLEY,INDIANA
555,KNOX COUNTY,KNOX,INDIANA
556,GREENE COUNTY,GREENE,INDIANA
557,CALAVERAS COUNTY,CALAVERAS,CALIFORNIA
558,WALTON COUNTY,WALTON,FLORIDA
560,HASKELL COUNTY,HASKELL,OKLAHOMA
561,LEON COUNTY,LEON,FLORIDA
562,MULTNOMAH COUNTY,MULTNOMAH,OREGON
563,BLANCO COUNTY,BLANCO,TEXAS
564,SANTA CRUZ COUNTY,SANTA CRUZ,CALIFORNIA
565,SONOMA COUNTY,SONOMA,CALIFORNIA
566,LAKE COUNTY,LAKE,CALIFORNIA
567,TRINITY COUNTY,TRINITY,CALIFORNIA
568,MCMULLEN COUNTY,MCMULLEN,TEXAS
569,NAPA COUNTY,NAPA,CALIFORNIA
570,ROGERS COUNTY,ROGERS,OKLAHOMA
571,MADISON COUNTY,MADISON,TEXAS
572,ELK COUNTY,ELK,PENNSYLVANIA
573,MARION COUNTY,MARION,TEXAS
574,MARTIN COUNTY,MARTIN,TEXAS
575,MASON COUNTY,MASON,TEXAS
576,SUMMERS COUNTY,SUMMERS,WEST VIRGINIA
577,,DISTRICT 32,ALASKA
578,CASS COUNTY,CASS,TEXAS
579,CLACKAMAS COUNTY,CLACKAMAS,OREGON
580,SEMINOLE COUNTY,SEMINOLE,OKLAHOMA
581,HUGHES COUNTY,HUGHES,OKLAHOMA
582,MADERA COUNTY,MADERA,CALIFORNIA
583,MATAGORDA COUNTY,MATAGORDA,TEXAS
584,SEQUOYAH COUNTY,SEQUOYAH,OKLAHOMA
585,COLUSA COUNTY,COLUSA,CALIFORNIA
586,MAVERICK COUNTY,MAVERICK,TEXAS
587,MEDINA COUNTY,MEDINA,TEXAS
588,MENARD COUNTY,MENARD,TEXAS
589,MIDLAND COUNTY,MIDLAND,TEXAS
590,ROBESON COUNTY,ROBESON,NORTH CAROLINA
591,CLAY COUNTY,CLAY,WEST VIRGINIA
592,SURRY COUNTY,SURRY,NORTH CAROLINA
593,WETZEL COUNTY,WETZEL,WEST VIRGINIA
594,STEPHENS COUNTY,STEPHENS,OKLAHOMA
595,SANTA BARBARA COUNTY,SANTA BARBARA,CALIFORNIA
596,,DISTRICT 33,ALASKA
597,CASTRO COUNTY,CASTRO,TEXAS
598,HARTFORD COUNTY,WINDSOR,CONNECTICUT
599,JACKSON COUNTY,JACKSON,OKLAHOMA
600,BORDEN COUNTY,BORDEN,TEXAS
601,MILAM COUNTY,MILAM,TEXAS
602,WIRT COUNTY,WIRT,WEST VIRGINIA
604,MILLS COUNTY,MILLS,TEXAS
605,MITCHELL COUNTY,MITCHELL,TEXAS
606,SAN BENITO COUNTY,SAN BENITO,CALIFORNIA
607,CRAWFORD COUNTY,CRAWFORD,MISSOURI
608,CUSTER COUNTY,CUSTER,COLORADO
609,ALAMOSA COUNTY,ALAMOSA,COLORADO
610,CONEJOS COUNTY,CONEJOS,COLORADO
611,COSTILLA COUNTY,COSTILLA,COLORADO
612,HUERFANO COUNTY,HUERFANO,COLORADO
613,MINERAL COUNTY,MINERAL,COLORADO
614,RIO GRANDE COUNTY,RIO GRANDE,COLORADO
615,SAGUACHE COUNTY,SAGUACHE,COLORADO
616,MONTAGUE COUNTY,MONTAGUE,TEXAS
617,COOK COUNTY,COOK,ILLINOIS
618,ARANSAS COUNTY,ARANSAS,TEXAS
619,BRYAN COUNTY,BRYAN,OKLAHOMA
620,SAN FRANCISCO COUNTY,SAN FRANCISCO,CALIFORNIA
621,TEXAS COUNTY,TEXAS,OKLAHOMA
622,MONTGOMERY COUNTY,MONTGOMERY,TEXAS
624,RUTHERFORD COUNTY,RUTHERFORD,NORTH CAROLINA
625,PLATTE COUNTY,PLATTE,MISSOURI
626,LANE COUNTY,LANE,OREGON
627,,DISTRICT 34,ALASKA
628,JEFFERSON COUNTY,JEFFERSON,OKLAHOMA
629,MOORE COUNTY,MOORE,TEXAS
630,MORRIS COUNTY,MORRIS,TEXAS
631,MOTLEY COUNTY,MOTLEY,TEXAS
632,IMPERIAL COUNTY,IMPERIAL,CALIFORNIA
633,NACOGDOCHES COUNTY,NACOGDOCHES,TEXAS
634,NAVARRO COUNTY,NAVARRO,TEXAS
635,DISTRICT OF COLUMBIA,WARD 1,DISTRICT OF COLUMBIA
636,,DISTRICT 35,ALASKA
637,CHAMBERS COUNTY,CHAMBERS,TEXAS
638,TILLMAN COUNTY,TILLMAN,OKLAHOMA
639,DENTON COUNTY,DENTON,TEXAS
640,BOSQUE COUNTY,BOSQUE,TEXAS
641,JOHNSTON COUNTY,JOHNSTON,OKLAHOMA
642,NEWTON COUNTY,NEWTON,TEXAS
643,DISTRICT OF COLUMBIA,WARD 8,DISTRICT OF COLUMBIA
644,INYO COUNTY,INYO,CALIFORNIA
645,MECKLENBURG COUNTY,MECKLENBURG,NORTH CAROLINA
646,POLK COUNTY,POLK,OREGON
647,SUMTER COUNTY,SUMTER,FLORIDA
648,WILKES COUNTY,WILKES,NORTH CAROLINA
649,HAMILTON COUNTY,HAMILTON,TENNESSEE
650,ST. CHARLES COUNTY,ST. CHARLES,MISSOURI
651,CASSIA COUNTY,CASSIA,IDAHO
652,PORTER COUNTY,PORTER,INDIANA
653,NOLAN COUNTY,NOLAN,TEXAS
654,JEFFERSON COUNTY,JEFFERSON,COLORADO
655,NUECES COUNTY,NUECES,TEXAS
656,UMATILLA COUNTY,UMATILLA,OREGON
657,STANISLAUS COUNTY,STANISLAUS,CALIFORNIA
658,DEWITT COUNTY,DE WITT,TEXAS
659,ALAMANCE COUNTY,ALAMANCE,NORTH CAROLINA
660,HART COUNTY,HART,KENTUCKY
661,DICKENS COUNTY,DICKENS,TEXAS
662,OCHILTREE COUNTY,OCHILTREE,TEXAS
663,OLDHAM COUNTY,OLDHAM,TEXAS
664,TULSA COUNTY,TULSA,OKLAHOMA
665,,DISTRICT 36,ALASKA
666,DISTRICT OF COLUMBIA,WARD 6,DISTRICT OF COLUMBIA
667,KAY COUNTY,KAY,OKLAHOMA
668,DIMMIT COUNTY,DIMMIT,TEXAS
669,ORANGE COUNTY,ORANGE,TEXAS
670,DONLEY COUNTY,DONLEY,TEXAS
671,FULTON COUNTY,FULTON,GEORGIA
672,PALO PINTO COUNTY,PALO PINTO,TEXAS
673,CROCKETT COUNTY,CROCKETT,TENNESSEE
674,MONROE COUNTY,MONROE,TENNESSEE
675,ASHE COUNTY,ASHE,NORTH CAROLINA
676,AVERY COUNTY,AVERY,NORTH CAROLINA
677,BAKER COUNTY,BAKER,OREGON
678,BRUNSWICK COUNTY,BRUNSWICK,NORTH CAROLINA
679,COOS COUNTY,COOS,OREGON
680,CRAVEN COUNTY,CRAVEN,NORTH CAROLINA
681,CROOK COUNTY,CROOK,OREGON
682,DAVIE COUNTY,DAVIE,NORTH CAROLINA
683,DOUGLAS COUNTY,DOUGLAS,OREGON
684,FRANKLIN COUNTY,FRANKLIN,NORTH CAROLINA
685,JEFFERSON COUNTY,JEFFERSON,OREGON
686,MACON COUNTY,MACON,NORTH CAROLINA
687,MALHEUR COUNTY,MALHEUR,OREGON
688,PANOLA COUNTY,PANOLA,TEXAS
689,RICHMOND COUNTY,RICHMOND,NORTH CAROLINA
690,STOKES COUNTY,STOKES,NORTH CAROLINA
691,UNION COUNTY,UNION,OREGON
692,WASCO COUNTY,WASCO,OREGON
693,WATAUGA COUNTY,WATAUGA,NORTH CAROLINA
694,WAYNE COUNTY,WAYNE,NORTH CAROLINA
695,CLAY COUNTY,CLAY,INDIANA
696,BENTON COUNTY,BENTON,OREGON
697,DAKOTA COUNTY,DAKOTA,NEBRASKA
698,IBERIA PARISH,IBERIA,LOUISIANA
699,ORLEANS PARISH,ORLEANS,LOUISIANA
700,SHOSHONE COUNTY,SHOSHONE,IDAHO
701,MARSHALL COUNTY,MARSHALL,INDIANA
702,CRAWFORD COUNTY,CRAWFORD,INDIANA
703,PARKER COUNTY,PARKER,TEXAS
704,HOLT COUNTY,HOLT,NEBRASKA
705,GEM COUNTY,GEM,IDAHO
706,NAVAJO COUNTY,NAVAJO,ARIZONA
707,BARROW COUNTY,BARROW,GEORGIA
708,WAKE COUNTY,WAKE,NORTH CAROLINA
709,LAWRENCE COUNTY,LAWRENCE,TENNESSEE
710,HAMBLEN COUNTY,HAMBLEN,TENNESSEE
711,,DISTRICT 13,ALASKA
712,FAYETTE COUNTY,FAYETTE,INDIANA
713,TIPTON COUNTY,TIPTON,INDIANA
714,SULLIVAN COUNTY,SULLIVAN,INDIANA
715,JEFFERSON COUNTY,JEFFERSON,INDIANA
716,SPENCER COUNTY,SPENCER,INDIANA
717,ADAMS COUNTY,ADAMS,INDIANA
718,PARMER COUNTY,PARMER,TEXAS
719,WELLS COUNTY,WELLS,INDIANA
720,JASPER COUNTY,JASPER,INDIANA
722,JENNINGS COUNTY,JENNINGS,INDIANA
723,NOBLE COUNTY,NOBLE,INDIANA
724,RUSH COUNTY,RUSH,INDIANA
725,STARKE COUNTY,STARKE,INDIANA
726,ORANGE COUNTY,ORANGE,INDIANA
727,MIAMI COUNTY,MIAMI,INDIANA
728,PIKE COUNTY,PIKE,INDIANA
729,RANDOLPH COUNTY,RANDOLPH,INDIANA
730,PERRY COUNTY,PERRY COUNTY,ARKANSAS
731,PULASKI COUNTY,PULASKI,INDIANA
732,PERRY COUNTY,PERRY,INDIANA
733,FOUNTAIN COUNTY,FOUNTAIN,INDIANA
734,DAVIESS COUNTY,DAVIESS,INDIANA
735,SCOTT COUNTY,SCOTT,INDIANA
736,OWEN COUNTY,OWEN,INDIANA
737,JAY COUNTY,JAY,INDIANA
738,JEFFERSON COUNTY,JEFFERSON,NEW YORK
739,,DISTRICT 37,ALASKA
740,ATASCOSA COUNTY,ATASCOSA,TEXAS
741,CIMARRON COUNTY,CIMARRON,OKLAHOMA
742,EDGECOMBE COUNTY,EDGECOMBE,NORTH CAROLINA
743,PITT COUNTY,PITT,NORTH CAROLINA
744,CASS COUNTY,CASS,NORTH DAKOTA
745,BOWIE COUNTY,BOWIE,TEXAS
746,KINGFISHER COUNTY,KINGFISHER,OKLAHOMA
747,PECOS COUNTY,PECOS,TEXAS
748,CHEROKEE COUNTY,CHEROKEE,TEXAS
749,WAGONER COUNTY,WAGONER,OKLAHOMA
750,POLK COUNTY,POLK,TEXAS
751,DUVAL COUNTY,DUVAL,TEXAS
752,DENVER COUNTY,DENVER,COLORADO
753,DISTRICT OF COLUMBIA,WARD 7,DISTRICT OF COLUMBIA
754,EASTLAND COUNTY,EASTLAND,TEXAS
755,AMELIA COUNTY,AMELIA COUNTY,VIRGINIA
756,POTTER COUNTY,POTTER,TEXAS
757,PRESIDIO COUNTY,PRESIDIO,TEXAS
758,RAINS COUNTY,RAINS,TEXAS
759,,DISTRICT 38,ALASKA
760,KIOWA COUNTY,KIOWA,OKLAHOMA
761,RANDALL COUNTY,RANDALL,TEXAS
762,REAGAN COUNTY,REAGAN,TEXAS
763,REAL COUNTY,REAL,TEXAS
764,RED RIVER COUNTY,RED RIVER,TEXAS
765,REEVES COUNTY,REEVES,TEXAS
766,TOOMBS COUNTY,TOOMBS,GEORGIA
767,MCKENZIE COUNTY,MCKENZIE,NORTH DAKOTA
768,,DISTRICT 39,ALASKA
769,AMHERST COUNTY,AMHERST COUNTY,VIRGINIA
770,APPOMATTOX COUNTY,APPOMATTOX COUNTY,VIRGINIA
771,ARLINGTON COUNTY,ARLINGTON COUNTY,VIRGINIA
772,BATH COUNTY,BATH COUNTY,VIRGINIA
773,BLAND COUNTY,BLAND COUNTY,VIRGINIA
774,BOTETOURT COUNTY,BOTETOURT COUNTY,VIRGINIA
775,BRISTOL CITY,BRISTOL CITY,VIRGINIA
776,CARROLL COUNTY,CARROLL COUNTY,VIRGINIA
777,CHARLES CITY COUNTY,CHARLES CITY COUNTY,VIRGINIA
778,CHARLOTTESVILLE CITY,CHARLOTTESVILLE CITY,VIRGINIA
779,CHESAPEAKE CITY,CHESAPEAKE CITY,VIRGINIA
780,CLARKE COUNTY,CLARKE COUNTY,VIRGINIA
781,COLONIAL HEIGHTS CITY,COLONIAL HEIGHTS CITY,VIRGINIA
782,COVINGTON CITY,COVINGTON CITY,VIRGINIA
783,CUMBERLAND COUNTY,CUMBERLAND COUNTY,VIRGINIA
784,DANVILLE CITY,DANVILLE CITY,VIRGINIA
785,DICKENSON COUNTY,DICKENSON COUNTY,VIRGINIA
786,DINWIDDIE COUNTY,DINWIDDIE COUNTY,VIRGINIA
787,ESSEX COUNTY,ESSEX COUNTY,VIRGINIA
788,FAIRFAX CITY,FAIRFAX CITY,VIRGINIA
789,FALLS CHURCH CITY,FALLS CHURCH CITY,VIRGINIA
790,FAUQUIER COUNTY,FAUQUIER COUNTY,VIRGINIA
791,FLOYD COUNTY,FLOYD COUNTY,VIRGINIA
792,FLUVANNA COUNTY,FLUVANNA COUNTY,VIRGINIA
793,YELLOWSTONE COUNTY,YELLOWSTONE,MONTANA
794,FREDERICKSBURG CITY,FREDERICKSBURG CITY,VIRGINIA
795,GALAX CITY,GALAX CITY,VIRGINIA
796,GILES COUNTY,GILES COUNTY,VIRGINIA
797,ECTOR COUNTY,ECTOR,TEXAS
798,GLOUCESTER COUNTY,GLOUCESTER COUNTY,VIRGINIA
799,GOOCHLAND COUNTY,GOOCHLAND COUNTY,VIRGINIA
800,GRAYSON COUNTY,GRAYSON COUNTY,VIRGINIA
801,GREENE COUNTY,GREENE COUNTY,VIRGINIA
802,HAMPTON CITY,HAMPTON CITY,VIRGINIA
803,HARRISONBURG CITY,HARRISONBURG CITY,VIRGINIA
804,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,VIRGINIA
805,KING AND QUEEN COUNTY,KING & QUEEN COUNTY,VIRGINIA
806,KING GEORGE COUNTY,KING GEORGE COUNTY,VIRGINIA
807,KING WILLIAM COUNTY,KING WILLIAM COUNTY,VIRGINIA
808,LANCASTER COUNTY,LANCASTER COUNTY,VIRGINIA
809,LEE COUNTY,LEE COUNTY,VIRGINIA
810,LEXINGTON CITY,LEXINGTON CITY,VIRGINIA
811,EDWARDS COUNTY,EDWARDS,TEXAS
812,MADISON COUNTY,MADISON COUNTY,VIRGINIA
813,MANASSAS CITY,MANASSAS CITY,VIRGINIA
814,MANASSAS PARK CITY,MANASSAS PARK CITY,VIRGINIA
815,MARTINSVILLE CITY,MARTINSVILLE CITY,VIRGINIA
816,MATHEWS COUNTY,MATHEWS COUNTY,VIRGINIA
817,MIDDLESEX COUNTY,MIDDLESEX COUNTY,VIRGINIA
818,NELSON COUNTY,NELSON COUNTY,VIRGINIA
819,NEW KENT COUNTY,NEW KENT COUNTY,VIRGINIA
820,NORTHAMPTON COUNTY,NORTHAMPTON COUNTY,VIRGINIA
821,NORTHUMBERLAND COUNTY,NORTHUMBERLAND COUNTY,VIRGINIA
822,NOTTOWAY COUNTY,NOTTOWAY COUNTY,VIRGINIA
823,ORANGE COUNTY,ORANGE COUNTY,VIRGINIA
824,PAGE COUNTY,PAGE COUNTY,VIRGINIA
825,BRAZORIA COUNTY,BRAZORIA,TEXAS
826,PATRICK COUNTY,PATRICK COUNTY,VIRGINIA
827,LATIMER COUNTY,LATIMER,OKLAHOMA
828,POQUOSON CITY,POQUOSON CITY,VIRGINIA
829,PORTSMOUTH CITY,PORTSMOUTH CITY,VIRGINIA
830,POWHATAN COUNTY,POWHATAN COUNTY,VIRGINIA
831,PRINCE GEORGE COUNTY,PRINCE GEORGE COUNTY,VIRGINIA
832,RADFORD CITY,RADFORD CITY,VIRGINIA
833,RAPPAHANNOCK COUNTY,RAPPAHANNOCK COUNTY,VIRGINIA
834,RICHMOND COUNTY,RICHMOND COUNTY,VIRGINIA
835,ROANOKE CITY,ROANOKE CITY,VIRGINIA
836,ROCKBRIDGE COUNTY,ROCKBRIDGE COUNTY,VIRGINIA
837,SALEM CITY,SALEM CITY,VIRGINIA
838,STAUNTON CITY,STAUNTON CITY,VIRGINIA
839,VIRGINIA BEACH CITY,VIRGINIA BEACH CITY,VIRGINIA
840,WARREN COUNTY,WARREN COUNTY,VIRGINIA
841,WAYNESBORO CITY,WAYNESBORO CITY,VIRGINIA
842,WESTMORELAND COUNTY,WESTMORELAND COUNTY,VIRGINIA
843,WILLIAMSBURG CITY,WILLIAMSBURG CITY,VIRGINIA
844,WINCHESTER CITY,WINCHESTER CITY,VIRGINIA
845,WISE COUNTY,WISE COUNTY,VIRGINIA
846,YORK COUNTY,YORK COUNTY,VIRGINIA
847,BUENA VISTA CITY,BUENA VISTA CITY,VIRGINIA
848,CRAIG COUNTY,CRAIG COUNTY,VIRGINIA
849,GREENSVILLE COUNTY,GREENSVILLE COUNTY,VIRGINIA
850,HIGHLAND COUNTY,HIGHLAND COUNTY,VIRGINIA
851,ELLIS COUNTY,ELLIS,TEXAS
852,WASHINGTON COUNTY,WASHINGTON,OKLAHOMA
853,NORTON CITY,NORTON CITY,VIRGINIA
854,SURRY COUNTY,SURRY COUNTY,VIRGINIA
855,CAMAS COUNTY,CAMAS,IDAHO
856,CLARK COUNTY,CLARK,IDAHO
857,RICH COUNTY,RICH,UTAH
858,CHEROKEE COUNTY,CHEROKEE,IOWA
859,TAYLOR COUNTY,TAYLOR,GEORGIA
860,REFUGIO COUNTY,REFUGIO,TEXAS
861,MONTGOMERY COUNTY,MONTGOMERY,IOWA
862,BEAR LAKE COUNTY,BEAR LAKE,IDAHO
863,MADISON COUNTY,MADISON,IDAHO
864,LIBERTY COUNTY,LIBERTY,MONTANA
865,HENRY COUNTY,HENRY,TENNESSEE
866,ROBERTS COUNTY,ROBERTS,TEXAS
867,CLAY COUNTY,CLAY,MISSOURI
868,LAUDERDALE COUNTY,LAUDERDALE,TENNESSEE
869,SCOTT COUNTY,SCOTT,IOWA
870,ROBERTSON COUNTY,ROBERTSON,TEXAS
871,TUCKER COUNTY,TUCKER,WEST VIRGINIA
872,TYRRELL COUNTY,TYRRELL,NORTH CAROLINA
873,SUFFOLK COUNTY,SUFFOLK,NEW YORK
874,PINAL COUNTY,PINAL,ARIZONA
875,CADDO PARISH,CADDO,LOUISIANA
876,JEFFERSON PARISH,JEFFERSON,LOUISIANA
877,LAFAYETTE PARISH,LAFAYETTE,LOUISIANA
878,TANGIPAHOA PARISH,TANGIPAHOA,LOUISIANA
879,TERREBONNE PARISH,TERREBONNE,LOUISIANA
880,ROCKWALL COUNTY,ROCKWALL,TEXAS
881,KAUAI COUNTY,KAUAI,HAWAII
882,WASHITA COUNTY,WASHITA,OKLAHOMA
883,,DISTRICT 14,ALASKA
884,BEAUREGARD PARISH,BEAUREGARD,LOUISIANA
885,CHILDRESS COUNTY,CHILDRESS,TEXAS
886,CAMERON PARISH,CAMERON,LOUISIANA
887,CLAIBORNE PARISH,CLAIBORNE,LOUISIANA
888,DE SOTO PARISH,DE SOTO,LOUISIANA
889,SUSSEX COUNTY,SUSSEX,DELAWARE
890,EAST CARROLL PARISH,EAST CARROLL,LOUISIANA
891,EAST FELICIANA PARISH,EAST FELICIANA,LOUISIANA
892,FRANKLIN PARISH,FRANKLIN,LOUISIANA
893,RUNNELS COUNTY,RUNNELS,TEXAS
894,IBERVILLE PARISH,IBERVILLE,LOUISIANA
895,JACKSON PARISH,JACKSON,LOUISIANA
896,JEFFERSON DAVIS PARISH,JEFFERSON DAVIS,LOUISIANA
897,LIVINGSTON PARISH,LIVINGSTON,LOUISIANA
898,MADISON PARISH,MADISON,LOUISIANA
899,MOREHOUSE PARISH,MOREHOUSE,LOUISIANA
900,OUACHITA PARISH,OUACHITA,LOUISIANA
901,POINTE COUPEE PARISH,POINTE COUPEE,LOUISIANA
902,RICHLAND PARISH,RICHLAND,LOUISIANA
903,ST. JAMES PARISH,ST. JAMES,LOUISIANA
904,ST. MARTIN PARISH,ST. MARTIN,LOUISIANA
905,ST. MARY PARISH,ST. MARY,LOUISIANA
906,TENSAS PARISH,TENSAS,LOUISIANA
907,UNION PARISH,UNION,LOUISIANA
908,VERMILION PARISH,VERMILION,LOUISIANA
909,WEBSTER PARISH,WEBSTER,LOUISIANA
910,WEST CARROLL PARISH,WEST CARROLL,LOUISIANA
911,ASCENSION PARISH,ASCENSION,LOUISIANA
912,MIDDLESEX COUNTY,TEWKSBURY,MASSACHUSETTS
913,PLATTE COUNTY,PLATTE,NEBRASKA
914,POLK COUNTY,POLK,TENNESSEE
915,WEST BATON ROUGE PARISH,WEST BATON ROUGE,LOUISIANA
916,CLEVELAND COUNTY,CLEVELAND,OKLAHOMA
917,WALTHALL COUNTY,WALTHALL,MISSISSIPPI
918,NEMAHA COUNTY,NEMAHA,NEBRASKA
919,PETTIS COUNTY,PETTIS,MISSOURI
920,CASS COUNTY,CASS,NEBRASKA
921,LIVINGSTON COUNTY,LIVINGSTON,MISSOURI
922,POWESHIEK COUNTY,POWESHIEK,IOWA
923,ALPINE COUNTY,ALPINE,CALIFORNIA
924,BARNSTABLE COUNTY,DENNIS,MASSACHUSETTS
925,BARNSTABLE COUNTY,HARWICH,MASSACHUSETTS
926,BARNSTABLE COUNTY,MASHPEE,MASSACHUSETTS
927,BERKSHIRE COUNTY,ADAMS,MASSACHUSETTS
929,BRISTOL COUNTY,NORTON,MASSACHUSETTS
930,BRISTOL COUNTY,RAYNHAM,MASSACHUSETTS
931,BRISTOL COUNTY,SEEKONK,MASSACHUSETTS
932,BRISTOL COUNTY,SOMERSET,MASSACHUSETTS
933,BRISTOL COUNTY,SWANSEA,MASSACHUSETTS
936,CRAWFORD COUNTY,CRAWFORD,GEORGIA
938,ESSEX COUNTY,IPSWICH,MASSACHUSETTS
939,ESSEX COUNTY,LYNNFIELD,MASSACHUSETTS
940,ADA COUNTY,ADA,IDAHO
941,GOSPER COUNTY,GOSPER,NEBRASKA
943,HAMPDEN COUNTY,E. LONGMEADOW,MASSACHUSETTS
944,HAMPDEN COUNTY,PALMER,MASSACHUSETTS
945,HAMPSHIRE COUNTY,EASTHAMPTON,MASSACHUSETTS
948,LAFAYETTE COUNTY,LAFAYETTE,FLORIDA
949,MIDDLESEX COUNTY,ASHLAND,MASSACHUSETTS
950,MIDDLESEX COUNTY,BEDFORD,MASSACHUSETTS
951,MIDDLESEX COUNTY,CONCORD,MASSACHUSETTS
952,MIDDLESEX COUNTY,HOLLISTON,MASSACHUSETTS
953,MIDDLESEX COUNTY,HOPKINTON,MASSACHUSETTS
954,MIDDLESEX COUNTY,MAYNARD,MASSACHUSETTS
955,MIDDLESEX COUNTY,N. READING,MASSACHUSETTS
956,MIDDLESEX COUNTY,SUDBURY,MASSACHUSETTS
957,MIDDLESEX COUNTY,TYNGSBOROUGH,MASSACHUSETTS
958,MIDDLESEX COUNTY,WAYLAND,MASSACHUSETTS
959,MIDDLESEX COUNTY,WESTON,MASSACHUSETTS
960,NORFOLK COUNTY,SHARON,MASSACHUSETTS
962,SHERMAN COUNTY,SHERMAN,OREGON
963,WEBSTER COUNTY,WEBSTER,WEST VIRGINIA
964,LINCOLN COUNTY,LINCOLN,NEVADA
965,WINDHAM COUNTY,PLAINFIELD,CONNECTICUT
966,EL PASO COUNTY,EL PASO,TEXAS
967,MARSHALL COUNTY,MARSHALL,MISSISSIPPI
968,MONROE COUNTY,MONROE,MISSISSIPPI
969,MOORE COUNTY,MOORE,TENNESSEE
970,AUDRAIN COUNTY,AUDRAIN,MISSOURI
971,MEIGS COUNTY,MEIGS,TENNESSEE
972,WOODS COUNTY,WOODS,OKLAHOMA
973,CAMPBELL COUNTY,CAMPBELL,TENNESSEE
974,CANNON COUNTY,CANNON,TENNESSEE
975,CLAY COUNTY,CLAY,TENNESSEE
976,GRAINGER COUNTY,GRAINGER,TENNESSEE
977,OVERTON COUNTY,OVERTON,TENNESSEE
978,ESSEX COUNTY,PEABODY,MASSACHUSETTS
979,ADAMS COUNTY,ADAMS,NEBRASKA
980,SEBASTIAN COUNTY,SEBASTIAN COUNTY,ARKANSAS
981,BERKSHIRE COUNTY,N. ADAMS,MASSACHUSETTS
982,ESSEX COUNTY,LYNN,MASSACHUSETTS
983,MIDDLESEX COUNTY,NEWTON,MASSACHUSETTS
984,CAMPBELL COUNTY,CAMPBELL,WYOMING
985,MCHENRY COUNTY,MCHENRY,ILLINOIS
986,CONCORDIA PARISH,CONCORDIA,LOUISIANA
987,SABINE PARISH,SABINE,LOUISIANA
988,GREELEY COUNTY,GREELEY,NEBRASKA
989,ST. BERNARD PARISH,ST. BERNARD,LOUISIANA
990,ST. TAMMANY PARISH,ST. TAMMANY,LOUISIANA
